address,price,beds,baths,sqft,type,agent,details,zip,county,census_median_home_value,census_median_gross_rent,census_median_hh_income,census_vacancy_pct,census_renter_pct,census_unemployment_pct,census_old_housing_pct,census_population,source_file
"4892 Woodcastle Dr, Chandler, TX 75758",129000.0,3,3,1760.0,House for sale,COLDWELL BANKER APEX - TYLER,"Price cut: $20,000 (2/7)",75758,Henderson,148100.0,927.0,52861.0,16.0,20.8,5.5,16.8,82737.0,properties_sheet5_enriched.csv
"1003 Tyler St, Jacksonville, TX 75766",129000.0,3,2,1736.0,House for sale,"EBBY HALLIDAY, REALTORS®",Fenced yard,75766,Cherokee,121800.0,792.0,47792.0,15.3,27.4,5.2,21.3,46649.0,properties_sheet5_enriched.csv
"17022 Locust Rd, Big Sandy, TX 75755",129000.0,2,2,,For sale by owner,,New appliances,75755,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"13910 Fm 314 N, Brownsboro, TX 75756",129900.0,2,2,2592.0,House for sale,,Two out buildings,75756,Henderson,148100.0,927.0,52861.0,16.0,20.8,5.5,16.8,82737.0,properties_sheet5_enriched.csv
"405 Millie St, Longview, TX 75602",130000.0,2,2,1152.0,House for sale,"REAL BROKER, LLC",Patio doors,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"1344 County Road 2746, Hughes Springs, TX 75656",130000.0,3,2,1436.0,House for sale,TERRY REAL ESTATE AGENCY,254 days on Zillow,75656,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"368 White Rd, Longview, TX 75603",130000.0,3,2,1768.0,For sale by owner,,Large metal shop,75603,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"501 N Spring St, Grand Saline, TX 75140",130000.0,4,2,2542.0,House for sale,"LESLIE CAIN REALTY, LLC",Solid wood floors,75140,Van Zandt,165200.0,912.0,58432.0,11.3,18.2,4.6,14.7,59417.0,properties_sheet5_enriched.csv
"313 Private Road 8693, Winnsboro, TX 75494",130000.0,2,2,1459.0,House for sale,MILLER HOMES GROUP,Enclosed porches,75494,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"215 Geronimo, Quitman, TX 75783",130000.0,2,2,900.0,House for sale,,Private boat ramp,75783,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"2712 Flint St, Tyler, TX 75701",132500.0,4,2,2100.0,House for sale,,Two baths,75701,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"515 E Elm St, Canton, TX 75103",133000.0,2,2,1692.0,House for sale,,Beautiful half-acre lot,75103,Van Zandt,165200.0,912.0,58432.0,11.3,18.2,4.6,14.7,59417.0,properties_sheet5_enriched.csv
"206 Enola Mae Dr, Marshall, TX 75670",134900.0,3,2,1464.0,House for sale,CENTURY 21 A SELECT GROUP,"Price cut: $11,500 (2/17)",75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"414 W Godfrey St, Gladewater, TX 75647",135000.0,3,2,1152.0,House for sale,COLDWELL BANKER LENHART-GILMER,"Price cut: $4,000 (2/10)",75647,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"1504 N Alice St, Gladewater, TX 75647",139000.0,3,2,1200.0,House for sale,903 REALTY,Quiet and established neighborhood,75647,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"2641 Amos Rd, Longview, TX 75602",139000.0,2,2,1400.0,House for sale,RELIABLE REAL ESTATE,34 days on Zillow,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"9701 James Ave, Tyler, TX 75706",139500.0,3,2,888.0,House for sale,CENTURY 21 FIRST GROUP - LINDALE,Water well,75706,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"891 Elizabeth Dr, Bullard, TX 75757",139500.0,3,2,1680.0,House for sale,REALEDGE REAL ESTATE - TYLER,Vinyl plank flooring,75757,Cherokee,121800.0,792.0,47792.0,15.3,27.4,5.2,21.3,46649.0,properties_sheet5_enriched.csv
"1117 County Road 2421, Leesburg, TX 75451",139500.0,3,2,1625.0,House for sale,"JENNIFER SHARP, BROKER",Two storage buildings,75451,Camp,119300.0,762.0,44896.0,18.7,24.1,6.1,22.4,12729.0,properties_sheet5_enriched.csv
