address,price,beds,baths,sqft,type,agent,details,zip,county,census_median_home_value,census_median_gross_rent,census_median_hh_income,census_vacancy_pct,census_renter_pct,census_unemployment_pct,census_old_housing_pct,census_population,source_file
"115 County Road 2938, Hughes Springs, TX 75656",34999.0,3,2,1350.0,House for sale,"LPT REALTY, LLC","Price cut: $4,001 (2/19)",75656,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"1401 Gay St, Longview, TX 75602",45000.0,3,2,2418.0,House for sale,"TEXAS REAL ESTATE EXECUTIVES, THE DANIELS GROUP - GILMER",310 days on Zillow,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"376 Sandlewood Loop, Avinger, TX 75630",45000.0,3,2,1428.0,House for sale,,Added privacy,75630,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"430 Seminole, Quitman, TX 75783",46610.0,3,2,,Foreclosure,"STARCREST REALTY, LLC",34 days on Zillow,75783,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"105 Lodge St, Ore City, TX 75683",49999.0,3,2,984.0,House for sale,1ST TEXAS REALTY SERVICES,28 days on Zillow,75683,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"107 Electra St, Longview, TX 75602",53999.0,3,2,1232.0,House for sale,1ST TEXAS REALTY SERVICES,247 days on Zillow,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"11006 Fm 225 S, Laneville, TX 75667",55000.0,3,2,1590.0,House for sale,L4 PROPERTY GROUP,"Price cut: $10,000 (1/29)",75667,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"110 Acorn Dr, Marshall, TX 75670",58989.0,4,2,1800.0,House for sale,1ST TEXAS REALTY SERVICES,Traditional uphill look,75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"410 Timberline Dr, Longview, TX 75604",65000.0,3,2,1508.0,House for sale,"REAL BROKER, LLC",117 days on Zillow,75604,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"12364 State Highway 43 E, Tatum, TX 75691",65000.0,3,2,1219.0,House for sale,"JOSEPH WALTER REALTY, LLC",117 days on Zillow,75691,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"301 S Roberts St, Gilmer, TX 75644",65000.0,3,2,1064.0,House for sale,HHH PROPERTIES MANAGEMENT LLC,247 days on Zillow,75644,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"210 N Stephens St, Quitman, TX 75783",69000.0,3,2,1681.0,House for sale,QUITMAN REALTY,48 days on Zillow,75783,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"334 County Road 3523, Bullard, TX 75757",69900.0,3,3,1136.0,Foreclosure,BERKSHIRE HATHAWAY HOMESERVICES MILES REALTY-TYLER,161 days on Zillow,75757,Cherokee,121800.0,792.0,47792.0,15.3,27.4,5.2,21.3,46649.0,properties_sheet5_enriched.csv
"829 N Prairieville St, Athens, TX 75751",69900.0,2,3,1238.0,House for sale,KELLER WILLIAMS REALTY-TYLER,Add outdoor entertaining areas,75751,Henderson,148100.0,927.0,52861.0,16.0,20.8,5.5,16.8,82737.0,properties_sheet5_enriched.csv
"405 S High St, Henderson, TX 75654",74400.0,3,2,1414.0,Foreclosure,COLDWELL BANKER HOME PLACE - CARTHAGE,2 days on Zillow,75654,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"5961 Club Dr, Gilmer, TX 75645",77040.0,2,2,1188.0,Foreclosure,REAL ESTATE MARKETING,Sits off the road,75645,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"507 Elder St, Kilgore, TX 75662",79900.0,3,2,1204.0,House for sale,ELITE GROUP REAL ESTATE,336 days on Zillow,75662,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"7227 Forest Hill Dr, Frankston, TX 75763",79900.0,2,2,704.0,Foreclosure,BERKSHIRE HATHAWAY HOMESERVICES MILES REALTY-TYLER,Situated on lake palestine,75763,Anderson,128600.0,812.0,48921.0,12.9,23.8,5.1,18.2,57933.0,properties_sheet5_enriched.csv
"2472 Lovely Dr, Chandler, TX 75758",79900.0,4,4,2380.0,House for sale,"JOSEPH WALTER REALTY, LLC","Price cut: $20,000 (2/13)",75758,Henderson,148100.0,927.0,52861.0,16.0,20.8,5.5,16.8,82737.0,properties_sheet5_enriched.csv
"486 County Road 3811, Hawkins, TX 75765",79900.0,3,2,1672.0,House for sale,,"Price cut: $5,000 (2/18)",75765,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"812 Tyler St, Jacksonville, TX 75766",84000.0,4,2,2210.0,Auction,STARCREST REALTY,97 days on Zillow,75766,Cherokee,121800.0,792.0,47792.0,15.3,27.4,5.2,21.3,46649.0,properties_sheet5_enriched.csv
"304 Hillcrest Blvd, Daingerfield, TX 75638",85000.0,3,2,1445.0,House for sale,TEXAS REAL ESTATE EXECUTIVES-GILMER,21 hours ago,75638,Morris,98100.0,721.0,41753.0,21.2,26.8,6.8,28.5,12688.0,properties_sheet5_enriched.csv
"4615 S Sego Lily Rd, Diana, TX 75640",85000.0,4,2,1843.0,Auction,,167 days on Zillow,75640,Marion,105300.0,738.0,38921.0,24.5,22.6,7.2,31.2,9873.0,properties_sheet5_enriched.csv
"18958 County Road 356, Winona, TX 75792",85500.0,3,2,1440.0,Foreclosure,BERKSHIRE HATHAWAY HOMESERVICES MILES REALTY-TYLER,"Price cut: $4,750 (2/13)",75792,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"1408 Gay St, Longview, TX 75602",85500.0,2,2,1020.0,House for sale,"REAL BROKER, LLC",17 days on Zillow,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"207 County Road 1739, Yantis, TX 75497",90000.0,4,2,2249.0,House for sale,,Brick house,75497,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"330 Francis St, Hawkins, TX 75765",91000.0,3,3,1679.0,Foreclosure,CROWNED EAGLE REALTY,Almost half an acre,75765,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"475 W Depot, Avinger, TX 75630",94500.0,3,2,1359.0,House for sale,"TEXAS REAL ESTATE EXECUTIVES, THE DANIELS GROUP - GILMER","Price cut: $4,500 (1/25)",75630,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"19565 E County Road 2187, Tatum, TX 75691",94900.0,3,2,1276.0,House for sale,JR REALTY,"Price cut: $5,000 (2/18)",75691,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"505 Levin St, Marshall, TX 75670",97500.0,3,2,2012.0,House for sale,FATHOM REALTY,"Price cut: $52,500 (2/14)",75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"2102 N Grand Ave, Tyler, TX 75702",98000.0,2,2,1384.0,House for sale,,Classic character throughout,75702,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"210 S Adams Ave, Tyler, TX 75702",99500.0,5,3,2808.0,Multi-family home for sale,"THE BRIAN CHINN TEAM, EXP REALTY",288 days on Zillow,75702,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"316 E Rosedale St, Tyler, TX 75702",99500.0,5,2,2420.0,Multi-family home for sale,"THE BRIAN CHINN TEAM, EXP REALTY",289 days on Zillow,75702,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"307 N Longview St, Kilgore, TX 75662",99900.0,3,2,1947.0,House for sale,JULIE WOODS & ASSOCIATE RE FIRM,"Price cut: $10,100 (2/18)",75662,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"1101 Sallie Sue Dr, Marshall, TX 75672",99900.0,3,2,1810.0,House for sale,CENTURY 21 A SELECT GROUP,"Price cut: $10,000 (2/16)",75672,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"5950 County Road 486, Tyler, TX 75706",99900.0,3,2,1320.0,House for sale,"MORA REALTY GROUP, LLC",4 days on Zillow,75706,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"380 Woodhue Dr, Bullard, TX 75757",99900.0,2,2,1152.0,New construction,MAYA PROPERTIES,2 days on Zillow,75757,Cherokee,121800.0,792.0,47792.0,15.3,27.4,5.2,21.3,46649.0,properties_sheet5_enriched.csv
"1140 N Hamlett St, Athens, TX 75751",99900.0,3,3,1500.0,House for sale,KELLER WILLIAMS REALTY-TYLER,Open grassy area,75751,Henderson,148100.0,927.0,52861.0,16.0,20.8,5.5,16.8,82737.0,properties_sheet5_enriched.csv
"2319 Luther St, Tyler, TX 75701",99999.0,4,2,1909.0,House for sale,1ST TEXAS REALTY SERVICES,Brick home,75701,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"706-708 Ridgelea Ave, Longview, TX 75602",100000.0,4,2,1956.0,Multi-family home for sale,RAMSEY REALTY GROUP - LONGVIEW,Granite countertops,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"22666 Lakeway Hbr, Flint, TX 75762",100000.0,3,2,1020.0,House for sale,COLDWELL BANKER APEX - TYLER,Spacious modular home,75762,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"205 N Robinson St, Big Sandy, TX 75755",100000.0,3,2,800.0,House for sale,LONE STAR REALTY - LAKE FORK,Original wood floors,75755,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"201 Travis St, Henderson, TX 75654",104900.0,3,2,1488.0,Foreclosure,TX FARMS & RANCHES/PARK VILLAGE,Some updating,75654,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"13312 Mountainview Rd S, Winona, TX 75792",105000.0,2,2,900.0,House for sale,JULIE WOODS & ASSOCIATE RE FIRM,Rare log cabin,75792,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"646 N Northaven Dr, Lone Star, TX 75668",105000.0,3,2,984.0,House for sale,MAYBEN REALTY - PITTSBURG,93 days on Zillow,75668,Morris,98100.0,721.0,41753.0,21.2,26.8,6.8,28.5,12688.0,properties_sheet5_enriched.csv
"172 Sue St, Jefferson, TX 75657",112000.0,2,2,1280.0,House for sale,EXP REALTY LLC,Spacious lots,75657,Marion,105300.0,738.0,38921.0,24.5,22.6,7.2,31.2,9873.0,properties_sheet5_enriched.csv
"10490 Browning St, Brownsboro, TX 75756",112500.0,2,2,540.0,House for sale,,Many mature trees,75756,Henderson,148100.0,927.0,52861.0,16.0,20.8,5.5,16.8,82737.0,properties_sheet5_enriched.csv
"10748 W High Way #84, Rusk, TX 75785",112990.0,4,2,2144.0,House for sale,MILLER HOMES GROUP,Solid pine floors,75785,Cherokee,121800.0,792.0,47792.0,15.3,27.4,5.2,21.3,46649.0,properties_sheet5_enriched.csv
