RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,date,value,source_file,zhvf,tier,State,City,Metro,CountyName
394717,599,"Jacksonville, TX",msa,TX,2026-01-31,2026-02-28,0.1,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394963,602,"Paris, TX",msa,TX,2026-01-31,2026-02-28,0.5,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394316,609,"Alice, TX",msa,TX,2026-01-31,2026-02-28,-0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394527,622,"Del Rio, TX",msa,TX,2026-01-31,2026-02-28,0.0,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394886,667,"Mount Pleasant, TX",msa,TX,2026-01-31,2026-02-28,0.2,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395129,680,"Stephenville, TX",msa,TX,2026-01-31,2026-02-28,0.5,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394558,685,"El Campo, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394624,687,"Gainesville, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394422,721,"Brownwood, TX",msa,TX,2026-01-31,2026-02-28,0.4,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395137,745,"Sulphur Springs, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394370,751,"Bay City, TX",msa,TX,2026-01-31,2026-02-28,0.5,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394413,759,"Brenham, TX",msa,TX,2026-01-31,2026-02-28,0.4,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394385,770,"Big Spring, TX",msa,TX,2026-01-31,2026-02-28,0.9,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394984,795,"Plainview, TX",msa,TX,2026-01-31,2026-02-28,0.0,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394376,808,"Beeville, TX",msa,TX,2026-01-31,2026-02-28,0.6,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394749,809,"Kingsville, TX",msa,TX,2026-01-31,2026-02-28,0.5,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394864,833,"Mineral Wells, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394615,847,"Fredericksburg, TX",msa,TX,2026-01-31,2026-02-28,0.1,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395181,865,"Uvalde, TX",msa,TX,2026-01-31,2026-02-28,-0.2,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394959,888,"Pampa, TX",msa,TX,2026-01-31,2026-02-28,-0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394784,893,"Levelland, TX",msa,TX,2026-01-31,2026-02-28,0.8,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394544,897,"Dumas, TX",msa,TX,2026-01-31,2026-02-28,0.8,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394403,899,"Borger, TX",msa,TX,2026-01-31,2026-02-28,1.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395014,907,"Raymondville, TX",msa,TX,2026-01-31,2026-02-28,0.9,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
753914,908,"Port Lavaca, TX",msa,TX,2026-01-31,2026-02-28,0.5,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394678,918,"Hereford, TX",msa,TX,2026-01-31,2026-02-28,0.2,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394330,920,"Andrews, TX",msa,TX,2026-01-31,2026-02-28,1.0,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395104,926,"Snyder, TX",msa,TX,2026-01-31,2026-02-28,0.8,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395142,933,"Sweetwater, TX",msa,TX,2026-01-31,2026-02-28,0.8,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394968,934,"Pecos, TX",msa,TX,2026-01-31,2026-02-28,-0.7,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
