metropolitan_area_name,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom,fmr_percentile,unnamed:_7,year
Frio County,"Frio County, TX",$819,$937,"$1,052","$1,313","$1,785",40,2025
Gaines County,"Gaines County, TX",$735,$760,$944,"$1,141","$1,403",40,2025
Galveston County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,073","$1,135","$1,357","$1,792","$2,303",40,2025
Garza County,"Garza County, TX",$705,$729,$905,"$1,275","$1,457",40,2025
Gillespie County,"Gillespie County, TX",$959,$966,"$1,269","$1,783","$1,886",40,2025
Glasscock County,"Glasscock County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Goliad County,"Victoria, TX MSA","$1,010","$1,016","$1,276","$1,588","$1,753",40,2025
Gonzales County,"Gonzales County, TX",$647,$749,$905,"$1,275","$1,536",40,2025
Gray County,"Gray County, TX",$773,$779,"$1,023","$1,237","$1,362",40,2025
Grayson County,"Sherman-Denison, TX MSA",$897,"$1,045","$1,227","$1,678","$2,082",40,2025
Gregg County,"Longview, TX HUD Metro FMR Area",$889,$930,"$1,102","$1,537","$1,665",40,2025
Grimes County,"Grimes County, TX",$788,$815,"$1,012","$1,224","$1,504",40,2025
Guadalupe County,"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,067","$1,197","$1,458","$1,846","$2,206",40,2025
Hale County,"Hale County, TX",$613,$806,$905,"$1,222","$1,499",40,2025
Hall County,"Hall County, TX",$684,$689,$905,"$1,254","$1,345",40,2025
Hamilton County,"Hamilton County, TX",$755,$760,$992,"$1,199","$1,321",40,2025
Hansford County,"Hansford County, TX",$801,$807,"$1,060","$1,315","$1,412",40,2025
Hardeman County,"Hardeman County, TX",$705,$705,$905,"$1,216","$1,345",40,2025
Hardin County,"Beaumont-Port Arthur, TX MSA",$892,$932,"$1,126","$1,470","$1,575",40,2025
Harris County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,073","$1,135","$1,357","$1,792","$2,303",40,2025
Harrison County,"Harrison County, TX HUD Metro FMR Area",$800,$840,"$1,104","$1,335","$1,500",40,2025
Hartley County,"Hartley County, TX",$948,$980,"$1,217","$1,615","$1,621",40,2025
Haskell County,"Haskell County, TX",$705,$729,$905,"$1,275","$1,521",40,2025
Hays County,"Austin-Round Rock, TX MSA","$1,519","$1,635","$1,924","$2,470","$2,840",40,2025
Hemphill County,"Hemphill County, TX",$833,$862,"$1,070","$1,380","$1,590",40,2025
Henderson County,"Henderson County, TX",$781,$808,"$1,016","$1,346","$1,491",40,2025
Hidalgo County,"McAllen-Edinburg-Mission, TX MSA",$777,$781,$977,"$1,277","$1,409",40,2025
Hill County,"Hill County, TX",$680,$789,"$1,003","$1,313","$1,595",40,2025
Hockley County,"Hockley County, TX",$705,$806,$905,"$1,275","$1,536",40,2025
Hood County,"Hood County, TX",$912,"$1,101","$1,345","$1,626","$2,091",40,2025
Hopkins County,"Hopkins County, TX",$718,$869,"$1,059","$1,469","$1,475",40,2025
Houston County,"Houston County, TX",$708,$712,$926,"$1,148","$1,233",40,2025
Howard County,"Howard County, TX",$942,$959,"$1,189","$1,438","$1,767",40,2025
Hudspeth County,"Hudspeth County, TX HUD Metro FMR Area",$736,$897,"$1,053","$1,273","$1,787",40,2025
Hunt County,"Dallas, TX HUD Metro FMR Area","$1,426","$1,500","$1,758","$2,212","$2,847",40,2025
